"Location","Species","Date2","DA"
"WA Coast","Razor clam",1989-11-15,20
"WA Coast","Dungeness crab",1990-01-15,1
"WA Coast","Razor clam",1990-04-15,13
"WA Coast","Razor clam",1990-10-15,16
"WA Coast","Razor clam",1991-04-15,1
"WA Coast","Razor clam",1991-05-15,3
"WA Coast","Razor clam",1991-06-15,5
"WA Coast","Razor clam",1991-10-15,66
"WA Coast","Dungeness crab",1991-11-15,22
"WA Coast","Razor clam",1991-11-15,100
"WA Coast","Dungeness crab",1991-12-15,39
"WA Coast","Razor clam",1991-12-15,61
"WA Coast","Dungeness crab",1992-01-15,38
"WA Coast","Razor clam",1992-01-15,47
"WA Coast","Dungeness crab",1992-02-15,35
"WA Coast","Razor clam",1992-02-15,63
"WA Coast","Razor clam",1992-03-15,66
"WA Coast","Razor clam",1992-04-15,47
"WA Coast","Razor clam",1992-05-15,14
"WA Coast","Razor clam",1992-06-15,11
"WA Coast","Dungeness crab",1992-07-15,2
"WA Coast","Razor clam",1992-07-15,8
"WA Coast","Razor clam",1992-08-15,14
"WA Coast","Razor clam",1992-09-15,22
"WA Coast","Dungeness crab",1992-10-15,2
"WA Coast","Razor clam",1992-10-15,25
"WA Coast","Dungeness crab",1992-11-15,11
"WA Coast","Razor clam",1992-11-15,20
"WA Coast","Razor clam",1992-12-15,14
"WA Coast","Razor clam",1993-01-15,13
"WA Coast","Razor clam",1993-02-15,22
"WA Coast","Dungeness crab",1993-03-15,5
"WA Coast","Razor clam",1993-03-15,12
"WA Coast","Razor clam",1993-04-15,17
"WA Coast","Razor clam",1993-05-15,12
"WA Coast","Razor clam",1993-06-15,6
"WA Coast","Razor clam",1993-07-15,3
"WA Coast","Razor clam",1993-08-15,3
"WA Coast","Razor clam",1993-09-15,2
"WA Coast","Dungeness crab",1993-10-15,2
"WA Coast","Razor clam",1993-10-15,6
"WA Coast","Dungeness crab",1993-11-15,6
"WA Coast","Razor clam",1993-11-15,23
"WA Coast","Dungeness crab",1993-12-15,13
"WA Coast","Razor clam",1993-12-15,19
"WA Coast","Dungeness crab",1994-01-15,7
"WA Coast","Razor clam",1994-01-15,28
"WA Coast","Dungeness crab",1994-02-15,10
"WA Coast","Razor clam",1994-02-15,22
"WA Coast","Razor clam",1994-03-15,23
"WA Coast","Razor clam",1994-04-15,10
"WA Coast","Razor clam",1994-05-15,8
"WA Coast","Razor clam",1994-06-15,8
"WA Coast","Razor clam",1994-07-15,7
"WA Coast","Razor clam",1994-08-15,5
"WA Coast","Razor clam",1994-09-15,63
"WA Coast","Dungeness crab",1994-10-15,24
"WA Coast","Razor clam",1994-10-15,55
"WA Coast","Dungeness crab",1994-11-15,6
"WA Coast","Razor clam",1994-11-15,37
"WA Coast","Dungeness crab",1994-12-15,5
"WA Coast","Razor clam",1994-12-15,45
"WA Coast","Dungeness crab",1995-01-15,5
"WA Coast","Razor clam",1995-01-15,27
"WA Coast","Dungeness crab",1995-02-15,5
"WA Coast","Razor clam",1995-02-15,26
"WA Coast","Dungeness crab",1995-03-15,5
"WA Coast","Razor clam",1995-03-15,21
"WA Coast","Razor clam",1995-04-15,30
"WA Coast","Dungeness crab",1995-05-15,5
"WA Coast","Razor clam",1995-05-15,30
"WA Coast","Razor clam",1995-06-15,17
"WA Coast","Razor clam",1995-07-15,30
"WA Coast","Razor clam",1995-08-15,15
"WA Coast","Razor clam",1995-09-15,7
"WA Coast","Dungeness crab",1995-10-15,2
"WA Coast","Razor clam",1995-10-15,13
"WA Coast","Dungeness crab",1995-11-15,2
"WA Coast","Razor clam",1995-11-15,5
"WA Coast","Razor clam",1995-12-15,2
"WA Coast","Razor clam",1996-01-15,4
"WA Coast","Razor clam",1996-02-15,4
"WA Coast","Dungeness crab",1996-03-15,2
"WA Coast","Razor clam",1996-03-15,4
"WA Coast","Razor clam",1996-04-15,6
"WA Coast","Dungeness crab",1996-05-15,0
"WA Coast","Razor clam",1996-05-15,6
"WA Coast","Razor clam",1996-06-15,7
"WA Coast","Razor clam",1996-07-15,5
"WA Coast","Razor clam",1996-08-15,4
"WA Coast","Razor clam",1996-09-15,4
"WA Coast","Dungeness crab",1996-10-15,2
"WA Coast","Razor clam",1996-10-15,4
"WA Coast","Dungeness crab",1996-11-15,2
"WA Coast","Razor clam",1996-11-15,3
"WA Coast","Razor clam",1996-12-15,3
"WA Coast","Razor clam",1997-01-15,2
"WA Coast","Razor clam",1997-02-15,2
"WA Coast","Razor clam",1997-03-15,2
"WA Coast","Razor clam",1997-04-15,3
"WA Coast","Razor clam",1997-05-15,2
"WA Coast","Razor clam",1997-07-15,1
"WA Coast","Razor clam",1997-10-15,0
"WA Coast","Razor clam",1998-01-15,0
"WA Coast","Razor clam",1998-02-15,0
"WA Coast","Razor clam",1998-03-15,0
"WA Coast","Razor clam",1998-05-15,0
"WA Coast","Razor clam",1998-06-15,0
"WA Coast","Razor clam",1998-07-15,9
"WA Coast","Razor clam",1998-08-15,14
"WA Coast","Razor clam",1998-09-15,94
"WA Coast","Dungeness crab",1998-10-15,40
"WA Coast","Razor clam",1998-10-15,287
"WA Coast","Dungeness crab",1998-11-15,39
"WA Coast","Razor clam",1998-11-15,295
"WA Coast","Dungeness crab",1998-12-15,22
"WA Coast","Razor clam",1998-12-15,152
"WA Coast","Dungeness crab",1999-01-15,12
"WA Coast","Razor clam",1999-01-15,255
"WA Coast","Dungeness crab",1999-02-15,7
"WA Coast","Razor clam",1999-02-15,214
"WA Coast","Dungeness crab",1999-03-15,36
"WA Coast","Razor clam",1999-03-15,185
"WA Coast","Dungeness crab",1999-04-15,1
"WA Coast","Razor clam",1999-04-15,236
"WA Coast","Razor clam",1999-05-15,71
"WA Coast","Razor clam",1999-06-15,81
"WA Coast","Razor clam",1999-07-15,15
"WA Coast","Razor clam",1999-08-15,21
"WA Coast","Razor clam",1999-09-15,45
"WA Coast","Dungeness crab",1999-10-15,2
"WA Coast","Razor clam",1999-10-15,22
"WA Coast","Dungeness crab",1999-11-15,0
"WA Coast","Razor clam",1999-11-15,38
"WA Coast","Dungeness crab",1999-12-15,7
"WA Coast","Razor clam",1999-12-15,19
"WA Coast","Dungeness crab",2000-01-15,1
"WA Coast","Razor clam",2000-01-15,18
"WA Coast","Dungeness crab",2000-02-15,0
"WA Coast","Razor clam",2000-02-15,24
"WA Coast","Razor clam",2000-03-15,35
"WA Coast","Razor clam",2000-04-15,11
"WA Coast","Razor clam",2000-05-15,14
"WA Coast","Razor clam",2000-06-15,16
"WA Coast","Razor clam",2000-07-15,6
"WA Coast","Razor clam",2000-08-15,7
"WA Coast","Razor clam",2000-09-15,18
"WA Coast","Dungeness crab",2000-10-15,0
"WA Coast","Razor clam",2000-10-15,10
"WA Coast","Razor clam",2000-11-15,8
"WA Coast","Dungeness crab",2000-12-15,0
"WA Coast","Razor clam",2000-12-15,7
"WA Coast","Razor clam",2001-01-15,7
"WA Coast","Razor clam",2001-02-15,5
"WA Coast","Dungeness crab",2001-03-15,3
"WA Coast","Razor clam",2001-03-15,24
"WA Coast","Razor clam",2001-04-15,28
"WA Coast","Razor clam",2001-05-15,30
"WA Coast","Razor clam",2001-06-15,22
"WA Coast","Razor clam",2001-07-15,19
"WA Coast","Razor clam",2001-08-15,13
"WA Coast","Razor clam",2001-09-15,52
"WA Coast","Dungeness crab",2001-10-15,3
"WA Coast","Razor clam",2001-10-15,10
"WA Coast","Razor clam",2001-11-15,10
"WA Coast","Razor clam",2001-12-15,7
"WA Coast","Razor clam",2002-01-15,9
"WA Coast","Razor clam",2002-02-15,7
"WA Coast","Razor clam",2002-03-15,5
"WA Coast","Razor clam",2002-04-15,9
"WA Coast","Razor clam",2002-05-15,11
"WA Coast","Razor clam",2002-06-15,5
"WA Coast","Razor clam",2002-07-15,4
"WA Coast","Razor clam",2002-08-15,2
"WA Coast","Razor clam",2002-09-15,27
"WA Coast","Dungeness crab",2002-10-15,35
"WA Coast","Razor clam",2002-10-15,188
"WA Coast","Dungeness crab",2002-11-15,38
"WA Coast","Razor clam",2002-11-15,150
"WA Coast","Dungeness crab",2002-12-15,52
"WA Coast","Razor clam",2002-12-15,118
"WA Coast","Dungeness crab",2003-01-15,55
"WA Coast","Razor clam",2003-01-15,107
"WA Coast","Dungeness crab",2003-02-15,60
"WA Coast","Razor clam",2003-02-15,108
"WA Coast","Dungeness crab",2003-03-15,59
"WA Coast","Razor clam",2003-03-15,90
"WA Coast","Dungeness crab",2003-04-15,33
"WA Coast","Razor clam",2003-04-15,97
"WA Coast","Dungeness crab",2003-05-15,15
"WA Coast","Razor clam",2003-05-15,88
"WA Coast","Dungeness crab",2003-06-15,41
"WA Coast","Razor clam",2003-06-15,66
"WA Coast","Razor clam",2003-07-15,43
"WA Coast","Razor clam",2003-08-15,38
"WA Coast","Razor clam",2003-09-15,40
"WA Coast","Dungeness crab",2003-10-15,6
"WA Coast","Razor clam",2003-10-15,25
"WA Coast","Razor clam",2003-11-15,22
"WA Coast","Dungeness crab",2003-12-15,2
"WA Coast","Razor clam",2003-12-15,18
"WA Coast","Razor clam",2004-01-15,28
"WA Coast","Razor clam",2004-02-15,28
"WA Coast","Razor clam",2004-03-15,17
"WA Coast","Razor clam",2004-04-15,19
"WA Coast","Razor clam",2004-05-15,14
"WA Coast","Razor clam",2004-06-15,10
"WA Coast","Razor clam",2004-07-15,7
"WA Coast","Razor clam",2004-08-15,49
"WA Coast","Razor clam",2004-09-15,30
"WA Coast","Razor clam",2004-10-15,29
"WA Coast","Razor clam",2004-11-15,23
"WA Coast","Razor clam",2004-12-15,22
"WA Coast","Razor clam",2005-01-15,28
"WA Coast","Razor clam",2005-02-15,24
"WA Coast","Razor clam",2005-03-15,24
"WA Coast","Razor clam",2005-04-15,20
"WA Coast","Razor clam",2005-05-15,29
"WA Coast","Razor clam",2005-06-15,15
"WA Coast","Razor clam",2005-07-15,10
"WA Coast","Razor clam",2005-08-15,7
"WA Coast","Razor clam",2005-09-15,6
"WA Coast","Razor clam",2005-10-15,11
"WA Coast","Dungeness crab",2005-11-15,2
"WA Coast","Razor clam",2005-11-15,9
"WA Coast","Razor clam",2005-12-15,7
"WA Coast","Razor clam",2006-01-15,5
"WA Coast","Razor clam",2006-02-15,6
"WA Coast","Razor clam",2006-03-15,3
"WA Coast","Razor clam",2006-04-15,7
"WA Coast","Razor clam",2006-05-15,6
"WA Coast","Razor clam",2006-06-15,4
"WA Coast","Razor clam",2006-07-15,38
"WA Coast","Razor clam",2006-08-15,26
"WA Coast","Razor clam",2006-09-15,20
"WA Coast","Dungeness crab",2006-10-15,1
"WA Coast","Razor clam",2006-10-15,18
"WA Coast","Dungeness crab",2006-11-15,1
"WA Coast","Razor clam",2006-11-15,13
"WA Coast","Razor clam",2006-12-15,14
"WA Coast","Razor clam",2007-01-15,14
"WA Coast","Razor clam",2007-02-15,15
"WA Coast","Razor clam",2007-03-15,7
"WA Coast","Razor clam",2007-04-15,14
"WA Coast","Razor clam",2007-05-15,8
"WA Coast","Razor clam",2007-06-15,6
"WA Coast","Razor clam",2007-07-15,5
"WA Coast","Razor clam",2007-08-15,4
"WA Coast","Razor clam",2007-09-15,2
"WA Coast","Razor clam",2007-10-15,2
"WA Coast","Dungeness crab",2007-11-15,0
"WA Coast","Razor clam",2007-11-15,1
"WA Coast","Razor clam",2007-12-15,2
"WA Coast","Razor clam",2008-01-15,3
"WA Coast","Razor clam",2008-02-15,1
"WA Coast","Razor clam",2008-03-15,0
"WA Coast","Razor clam",2008-04-15,1
"WA Coast","Razor clam",2008-05-15,1
"WA Coast","Razor clam",2008-06-15,1
"WA Coast","Razor clam",2008-07-15,1
"WA Coast","Razor clam",2008-08-15,1
"WA Coast","Razor clam",2008-09-15,0
"WA Coast","Razor clam",2008-10-15,1
"WA Coast","Razor clam",2008-11-15,2
"WA Coast","Razor clam",2008-12-15,2
"WA Coast","Razor clam",2009-01-15,1
"WA Coast","Razor clam",2009-02-15,0
"WA Coast","Razor clam",2009-03-15,1
"WA Coast","Razor clam",2009-04-15,2
"WA Coast","Razor clam",2009-05-15,2
"WA Coast","Razor clam",2009-06-15,2
"WA Coast","Razor clam",2009-07-15,1
"WA Coast","Razor clam",2009-08-15,8
"WA Coast","Razor clam",2009-09-15,8
"WA Coast","Razor clam",2009-10-15,6
"WA Coast","Dungeness crab",2009-11-15,0
"WA Coast","Razor clam",2009-11-15,7
"WA Coast","Razor clam",2009-12-15,3
"WA Coast","Razor clam",2010-01-15,4
"WA Coast","Razor clam",2010-02-15,3
"WA Coast","Razor clam",2010-03-15,2
"WA Coast","Razor clam",2010-04-15,2
"WA Coast","Razor clam",2010-05-15,2
"WA Coast","Razor clam",2010-06-15,2
"WA Coast","Razor clam",2010-07-15,2
"WA Coast","Razor clam",2010-08-15,1
"WA Coast","Razor clam",2010-09-15,1
"WA Coast","Razor clam",2010-10-15,0
"WA Coast","Razor clam",2010-11-15,1
"WA Coast","Razor clam",2010-12-15,1
"WA Coast","Razor clam",2011-01-15,1
"WA Coast","Razor clam",2011-02-15,0
"WA Coast","Razor clam",2011-03-15,0
"WA Coast","Razor clam",2011-04-15,0
"WA Coast","Razor clam",2011-05-15,1
"WA Coast","Razor clam",2011-06-15,0
"WA Coast","Razor clam",2011-07-15,0
"WA Coast","Razor clam",2011-08-15,0
"WA Coast","Razor clam",2011-09-15,2
"WA Coast","Razor clam",2011-10-15,1
"WA Coast","Razor clam",2011-11-15,1
"WA Coast","Razor clam",2011-12-15,1
"WA Coast","Razor clam",2012-01-15,0
"WA Coast","Razor clam",2012-02-15,0
"WA Coast","Razor clam",2012-03-15,1
"WA Coast","Razor clam",2012-04-15,0
"WA Coast","Razor clam",2012-05-15,1
"WA Coast","Razor clam",2012-06-15,1
"WA Coast","Razor clam",2012-07-15,0
"WA Coast","Razor clam",2012-08-15,4
"WA Coast","Razor clam",2012-09-15,2
"WA Coast","Dungeness crab",2012-10-15,10
"WA Coast","Razor clam",2012-10-15,3
"WA Coast","Dungeness crab",2012-11-15,3
"WA Coast","Razor clam",2012-11-15,3
"WA Coast","Razor clam",2012-12-15,2
"WA Coast","Razor clam",2013-01-15,2
"WA Coast","Razor clam",2013-02-15,1
"WA Coast","Razor clam",2013-03-15,2
"WA Coast","Razor clam",2013-04-15,1
"WA Coast","Razor clam",2013-05-15,1
"WA Coast","Razor clam",2013-06-15,1
"WA Coast","Razor clam",2013-07-15,2
"WA Coast","Razor clam",2013-08-15,3
"WA Coast","Razor clam",2013-09-15,3
"WA Coast","Razor clam",2013-10-15,3
"WA Coast","Razor clam",2013-11-15,4
"WA Coast","Razor clam",2013-12-15,6
"WA Coast","Razor clam",2014-01-15,6
"WA Coast","Razor clam",2014-02-15,3
"WA Coast","Razor clam",2014-03-15,3
"WA Coast","Razor clam",2014-04-15,4
"WA Coast","Razor clam",2014-05-15,4
"WA Coast","Razor clam",2014-06-15,3
"WA Coast","Razor clam",2014-07-15,2
"WA Coast","Razor clam",2014-08-15,2
"WA Coast","Razor clam",2014-09-15,1
"WA Coast","Razor clam",2014-10-15,1
"WA Coast","Razor clam",2014-11-15,2
"WA Coast","Razor clam",2014-12-15,2
"WA Coast","Razor clam",2015-01-15,1
"WA Coast","Razor clam",2015-02-15,1
"WA Coast","Razor clam",2015-03-15,1
"WA Coast","Razor clam",2015-04-15,3
"WA Coast","Dungeness crab",2015-05-15,41
"WA Coast","Razor clam",2015-05-15,169
"WA Coast","Dungeness crab",2015-06-15,65
"WA Coast","Razor clam",2015-06-15,152
"WA Coast","Dungeness crab",2015-07-15,99
"WA Coast","Razor clam",2015-07-15,99
"WA Coast","Dungeness crab",2015-08-15,86
"WA Coast","Razor clam",2015-08-15,75
"WA Coast","Dungeness crab",2015-09-15,28
"WA Coast","Razor clam",2015-09-15,68
"WA Coast","Dungeness crab",2015-10-15,15
"WA Coast","Razor clam",2015-10-15,74
"WA Coast","Dungeness crab",2015-11-15,54
"WA Coast","Razor clam",2015-11-15,36
"WA Coast","Dungeness crab",2015-12-15,19
"WA Coast","Razor clam",2015-12-15,50
"WA Coast","Razor clam",2016-01-15,53
"WA Coast","Razor clam",2016-02-15,37
"WA Coast","Razor clam",2016-03-15,30
"WA Coast","Razor clam",2016-04-15,36
"WA Coast","Razor clam",2016-05-15,31
"WA Coast","Razor clam",2016-06-15,20
"WA Coast","Razor clam",2016-07-15,14
"WA Coast","Razor clam",2016-08-15,11
"WA Coast","Razor clam",2016-09-15,29
"WA Coast","Dungeness crab",2016-10-15,13
"WA Coast","Razor clam",2016-10-15,26
"WA Coast","Dungeness crab",2016-11-15,14
"WA Coast","Razor clam",2016-11-15,28
"WA Coast","Dungeness crab",2016-12-15,24
"WA Coast","Razor clam",2016-12-15,35
"WA Coast","Razor clam",2017-01-15,34
"WA Coast","Razor clam",2017-02-15,52
"WA Coast","Razor clam",2017-03-15,36
"WA Coast","Razor clam",2017-04-15,44
"WA Coast","Razor clam",2017-05-15,41
"WA Coast","Razor clam",2017-06-15,34
"WA Coast","Razor clam",2017-07-15,14
"WA Coast","Razor clam",2017-08-15,23
"WA Coast","Razor clam",2017-09-15,13
"WA Coast","Dungeness crab",2017-10-15,17
"WA Coast","Razor clam",2017-10-15,11
"WA Coast","Dungeness crab",2017-11-15,12
"WA Coast","Razor clam",2017-11-15,31
"WA Coast","Dungeness crab",2017-12-15,7
"WA Coast","Razor clam",2017-12-15,20
"WA Coast","Razor clam",2018-01-15,9
"WA Coast","Razor clam",2018-02-15,12
"WA Coast","Razor clam",2018-03-15,21
"WA Coast","Razor clam",2018-04-15,7
"WA Coast","Razor clam",2018-05-15,5
"WA Coast","Razor clam",2018-06-15,3
"WA Coast","Razor clam",2018-07-15,2
"WA Coast","Razor clam",2018-08-15,2
"WA Coast","Razor clam",2018-09-15,2
"WA Coast","Razor clam",2018-10-15,3
"WA Coast","Dungeness crab",2018-11-15,2
"WA Coast","Razor clam",2018-11-15,3
"WA Coast","Razor clam",2018-12-15,4
"WA Coast","Razor clam",2019-01-15,7
"WA Coast","Razor clam",2019-02-15,6
"WA Coast","Razor clam",2019-03-15,7
"WA Coast","Razor clam",2019-04-15,7
"WA Coast","Razor clam",2019-05-15,4
"WA Coast","Razor clam",2019-06-15,4
"WA Coast","Razor clam",2019-07-15,3
"WA Coast","Razor clam",2019-08-15,3
"WA Coast","Razor clam",2019-09-15,2
"WA Coast","Razor clam",2019-10-15,8
"WA Coast","Dungeness crab",2019-11-15,1
"WA Coast","Razor clam",2019-11-15,7
"WA Coast","Razor clam",2020-01-15,7
"WA Coast","Razor clam",2020-02-15,5
"WA Coast","Razor clam",2020-03-15,4
"WA Coast","Razor clam",2020-04-15,4
"WA Coast","Razor clam",2020-05-15,4
"WA Coast","Razor clam",2020-06-15,2
"WA Coast","Razor clam",2020-07-15,2
"WA Coast","Razor clam",2020-08-15,5
"WA Coast","Razor clam",2020-09-15,5
"WA Coast","Razor clam",2020-10-15,29
"WA Coast","Dungeness crab",2020-11-15,44
"WA Coast","Razor clam",2020-11-15,83
"WA Coast","Dungeness crab",2020-12-15,61
"WA Coast","Razor clam",2020-12-15,46
"OR Coast","Razor clam",1991-10-15,68
"OR Coast","Dungeness crab",1991-11-15,1
"OR Coast","Razor clam",1991-11-15,124
"OR Coast","Dungeness crab",1991-12-15,15
"OR Coast","Razor clam",1991-12-15,58
"OR Coast","Razor clam",1992-03-15,32
"OR Coast","Razor clam",1992-04-15,51
"OR Coast","Razor clam",1992-05-15,39
"OR Coast","Razor clam",1992-06-15,31
"OR Coast","Razor clam",1992-07-15,15
"OR Coast","Razor clam",1992-08-15,13
"OR Coast","Razor clam",1992-09-15,9
"OR Coast","Dungeness crab",1992-10-15,74.4
"OR Coast","Razor clam",1992-10-15,56
"OR Coast","Dungeness crab",1992-11-15,74.4
"OR Coast","Razor clam",1992-11-15,10
"OR Coast","Razor clam",1992-12-15,6
"OR Coast","Dungeness crab",1993-01-15,0
"OR Coast","Razor clam",1993-01-15,9
"OR Coast","Razor clam",1993-02-15,8
"OR Coast","Razor clam",1993-03-15,3
"OR Coast","Razor clam",1993-04-15,12
"OR Coast","Razor clam",1993-05-15,13
"OR Coast","Razor clam",1993-06-15,13
"OR Coast","Razor clam",1993-07-15,4
"OR Coast","Razor clam",1993-08-15,2
"OR Coast","Dungeness crab",1993-09-15,0
"OR Coast","Razor clam",1993-09-15,3
"OR Coast","Dungeness crab",1993-10-15,55.17
"OR Coast","Razor clam",1993-10-15,5
"OR Coast","Dungeness crab",1993-11-15,9.61
"OR Coast","Razor clam",1993-11-15,10
"OR Coast","Dungeness crab",1993-12-15,3.92
"OR Coast","Razor clam",1993-12-15,16
"OR Coast","Dungeness crab",1994-01-15,4.37
"OR Coast","Razor clam",1994-01-15,24
"OR Coast","Dungeness crab",1994-02-15,6.5
"OR Coast","Razor clam",1994-02-15,13
"OR Coast","Razor clam",1994-03-15,7
"OR Coast","Razor clam",1994-04-15,4
"OR Coast","Razor clam",1994-05-15,4
"OR Coast","Razor clam",1994-06-15,5
"OR Coast","Razor clam",1994-07-15,3
"OR Coast","Razor clam",1994-08-15,5
"OR Coast","Razor clam",1994-09-15,2
"OR Coast","Dungeness crab",1994-10-15,1.02
"OR Coast","Razor clam",1994-10-15,4
"OR Coast","Dungeness crab",1994-11-15,4.6
"OR Coast","Dungeness crab",1994-12-15,0
"OR Coast","Razor clam",1994-12-15,0
"OR Coast","Dungeness crab",1995-01-15,0
"OR Coast","Razor clam",1995-01-15,3
"OR Coast","Razor clam",1995-02-15,3
"OR Coast","Razor clam",1995-03-15,3
"OR Coast","Razor clam",1995-04-15,7
