"Location","Species","Date2","DA"
"OR Coast","Razor clam",1995-05-15,10
"OR Coast","Razor clam",1995-06-15,5
"OR Coast","Razor clam",1995-07-15,4
"OR Coast","Razor clam",1995-08-15,4
"OR Coast","Dungeness crab",1995-11-15,16.4
"OR Coast","Dungeness crab",1995-12-15,10.4
"OR Coast","Razor clam",1995-12-15,8.6
"OR Coast","Dungeness crab",1996-01-15,5.2
"OR Coast","Razor clam",1996-01-15,21.6
"OR Coast","Razor clam",1996-02-15,16
"OR Coast","Razor clam",1996-03-15,19
"OR Coast","Razor clam",1996-04-15,6
"OR Coast","Razor clam",1996-05-15,15
"OR Coast","Razor clam",1996-06-15,37
"OR Coast","Razor clam",1996-07-15,22
"OR Coast","Razor clam",1996-08-15,23
"OR Coast","Razor clam",1996-09-15,6.6
"OR Coast","Razor clam",1996-10-15,1.4
"OR Coast","Razor clam",1996-11-15,1
"OR Coast","Razor clam",1997-01-15,3.6
"OR Coast","Razor clam",1997-02-15,1
"OR Coast","Razor clam",1997-03-15,14.5
"OR Coast","Razor clam",1997-04-15,1.6
"OR Coast","Razor clam",1997-05-15,1.8
"OR Coast","Razor clam",1997-06-15,1
"OR Coast","Razor clam",1997-07-15,1
"OR Coast","Razor clam",1997-08-15,1
"OR Coast","Razor clam",1998-02-15,1
"OR Coast","Razor clam",1998-03-15,1
"OR Coast","Razor clam",1998-04-15,1
"OR Coast","Razor clam",1998-05-15,1
"OR Coast","Razor clam",1998-06-15,2.3
"OR Coast","Razor clam",1998-07-15,57.1
"OR Coast","Razor clam",1998-08-15,32.8
"OR Coast","Razor clam",1998-09-15,82
"OR Coast","Dungeness crab",1998-10-15,6.5
"OR Coast","Razor clam",1998-10-15,308
"OR Coast","Razor clam",1998-11-15,81.6
"OR Coast","Razor clam",1998-12-15,71.5
"OR Coast","Razor clam",1999-02-15,46.7
"OR Coast","Razor clam",1999-03-15,52.8
"OR Coast","Razor clam",1999-04-15,51.4
"OR Coast","Razor clam",1999-05-15,29.7
"OR Coast","Razor clam",1999-06-15,16
"OR Coast","Razor clam",1999-07-15,16.8
"OR Coast","Razor clam",1999-08-15,4.3
"OR Coast","Razor clam",1999-09-15,10.6
"OR Coast","Razor clam",1999-12-15,1
"OR Coast","Razor clam",2000-02-15,4
"OR Coast","Razor clam",2000-03-15,5.8
"OR Coast","Razor clam",2000-04-15,2.1
"OR Coast","Razor clam",2000-05-15,1.8
"OR Coast","Razor clam",2000-06-15,3.8
"OR Coast","Razor clam",2000-07-15,2.5
"OR Coast","Razor clam",2000-08-15,1.5
"OR Coast","Razor clam",2000-09-15,1.6
"OR Coast","Razor clam",2000-10-15,4.2
"OR Coast","Razor clam",2000-11-15,2.5
"OR Coast","Razor clam",2000-12-15,5.3
"OR Coast","Razor clam",2001-02-15,1.6
"OR Coast","Razor clam",2001-03-15,27.4
"OR Coast","Razor clam",2001-04-15,35.9
"OR Coast","Razor clam",2001-05-15,37.7
"OR Coast","Razor clam",2001-06-15,25.5
"OR Coast","Razor clam",2001-07-15,10.5
"OR Coast","Razor clam",2001-08-15,20.9
"OR Coast","Razor clam",2001-09-15,32.7
"OR Coast","Razor clam",2001-10-15,18.1
"OR Coast","Razor clam",2001-11-15,17.7
"OR Coast","Razor clam",2001-12-15,19.3
"OR Coast","Razor clam",2002-01-15,17.2
"OR Coast","Razor clam",2002-02-15,14.5
"OR Coast","Razor clam",2002-03-15,12.3
"OR Coast","Razor clam",2002-04-15,11.4
"OR Coast","Razor clam",2002-05-15,6.1
"OR Coast","Razor clam",2002-06-15,7.3
"OR Coast","Razor clam",2002-07-15,6
"OR Coast","Razor clam",2002-08-15,5.2
"OR Coast","Razor clam",2002-09-15,8.5
"OR Coast","Razor clam",2002-10-15,117
"OR Coast","Dungeness crab",2002-11-15,16
"OR Coast","Razor clam",2002-11-15,115
"OR Coast","Dungeness crab",2002-12-15,20.1
"OR Coast","Razor clam",2002-12-15,93
"OR Coast","Razor clam",2003-01-15,79.7
"OR Coast","Razor clam",2003-02-15,89
"OR Coast","Razor clam",2003-03-15,85
"OR Coast","Razor clam",2003-04-15,53
"OR Coast","Razor clam",2003-05-15,130
"OR Coast","Razor clam",2003-06-15,287
"OR Coast","Razor clam",2003-07-15,130
"OR Coast","Razor clam",2003-08-15,100
"OR Coast","Razor clam",2003-09-15,97
"OR Coast","Razor clam",2003-10-15,60
"OR Coast","Dungeness crab",2003-11-15,95
"OR Coast","Razor clam",2003-11-15,5
"OR Coast","Dungeness crab",2003-12-15,57
"OR Coast","Razor clam",2003-12-15,9.5
"OR Coast","Dungeness crab",2004-01-15,8.1
"OR Coast","Razor clam",2004-01-15,44
"OR Coast","Razor clam",2004-02-15,2.2
"OR Coast","Razor clam",2004-03-15,29
"OR Coast","Razor clam",2004-04-15,56
"OR Coast","Razor clam",2004-05-15,86
"OR Coast","Razor clam",2004-06-15,87
"OR Coast","Razor clam",2004-07-15,65
"OR Coast","Razor clam",2004-08-15,48
"OR Coast","Razor clam",2004-09-15,45
"OR Coast","Razor clam",2004-10-15,47
"OR Coast","Dungeness crab",2004-11-15,14
"OR Coast","Razor clam",2004-11-15,28
"OR Coast","Razor clam",2004-12-15,4
"OR Coast","Dungeness crab",2005-01-15,13
"OR Coast","Razor clam",2005-01-15,26
"OR Coast","Razor clam",2005-02-15,49
"OR Coast","Razor clam",2005-03-15,40
"OR Coast","Razor clam",2005-04-15,73
"OR Coast","Razor clam",2005-05-15,213
"OR Coast","Razor clam",2005-06-15,130
"OR Coast","Razor clam",2005-07-15,86
"OR Coast","Razor clam",2005-08-15,54
"OR Coast","Razor clam",2005-09-15,45
"OR Coast","Razor clam",2005-10-15,58
"OR Coast","Dungeness crab",2005-11-15,19
"OR Coast","Razor clam",2005-11-15,97
"OR Coast","Razor clam",2005-12-15,69
"OR Coast","Razor clam",2006-01-15,78
"OR Coast","Razor clam",2006-02-15,46
"OR Coast","Razor clam",2006-03-15,34
"OR Coast","Razor clam",2006-04-15,22
"OR Coast","Razor clam",2006-05-15,37
"OR Coast","Razor clam",2006-06-15,20
"OR Coast","Razor clam",2006-07-15,31
"OR Coast","Razor clam",2006-08-15,27
"OR Coast","Razor clam",2006-09-15,21
"OR Coast","Razor clam",2006-10-15,14
"OR Coast","Razor clam",2006-12-15,10
"OR Coast","Razor clam",2007-01-15,13
"OR Coast","Razor clam",2007-02-15,19
"OR Coast","Razor clam",2007-03-15,7.9
"OR Coast","Razor clam",2007-04-15,7.7
"OR Coast","Razor clam",2007-05-15,6.2
"OR Coast","Razor clam",2007-06-15,4.7
"OR Coast","Razor clam",2007-07-15,8.2
"OR Coast","Razor clam",2007-08-15,4.4
"OR Coast","Razor clam",2007-09-15,1
"OR Coast","Razor clam",2007-10-15,20
"OR Coast","Razor clam",2007-11-15,3.7
"OR Coast","Razor clam",2007-12-15,2
"OR Coast","Razor clam",2008-01-15,4
"OR Coast","Razor clam",2008-02-15,1.3
"OR Coast","Razor clam",2008-03-15,2.3
"OR Coast","Razor clam",2008-04-15,2.3
"OR Coast","Razor clam",2008-05-15,13
"OR Coast","Razor clam",2008-06-15,7
"OR Coast","Razor clam",2008-07-15,1.3
"OR Coast","Razor clam",2008-08-15,1
"OR Coast","Razor clam",2008-09-15,1
"OR Coast","Razor clam",2008-10-15,3.8
"OR Coast","Razor clam",2008-11-15,1
"OR Coast","Razor clam",2008-12-15,1
"OR Coast","Razor clam",2009-01-15,1
"OR Coast","Razor clam",2009-02-15,2.3
"OR Coast","Razor clam",2009-03-15,1
"OR Coast","Razor clam",2009-04-15,3.8
"OR Coast","Razor clam",2009-05-15,8.1
"OR Coast","Razor clam",2009-06-15,6.7
"OR Coast","Razor clam",2009-07-15,5.3
"OR Coast","Razor clam",2009-08-15,15
"OR Coast","Razor clam",2009-09-15,11
"OR Coast","Razor clam",2009-10-15,5.1
"OR Coast","Razor clam",2009-11-15,8.4
"OR Coast","Razor clam",2009-12-15,8.4
"OR Coast","Razor clam",2010-01-15,5.3
"OR Coast","Razor clam",2010-02-15,8.6
"OR Coast","Razor clam",2010-03-15,2.3
"OR Coast","Razor clam",2010-04-15,2.4
"OR Coast","Razor clam",2010-05-15,4.2
"OR Coast","Razor clam",2010-06-15,55
"OR Coast","Razor clam",2010-07-15,33
"OR Coast","Razor clam",2010-08-15,36
"OR Coast","Razor clam",2010-09-15,19
"OR Coast","Razor clam",2010-10-15,1.7
"OR Coast","Dungeness crab",2010-11-15,8.3
"OR Coast","Razor clam",2010-11-15,19
"OR Coast","Razor clam",2010-12-15,1.2
"OR Coast","Razor clam",2011-01-15,29
"OR Coast","Razor clam",2011-02-15,13
"OR Coast","Razor clam",2011-03-15,1
"OR Coast","Razor clam",2011-04-15,11
"OR Coast","Razor clam",2011-05-15,13
"OR Coast","Razor clam",2011-06-15,4.8
"OR Coast","Razor clam",2011-07-15,5.6
"OR Coast","Razor clam",2011-08-15,2.5
"OR Coast","Razor clam",2011-09-15,2.2
"OR Coast","Razor clam",2011-10-15,1.1
"OR Coast","Dungeness crab",2011-11-15,5.2
"OR Coast","Razor clam",2011-11-15,1.1
"OR Coast","Razor clam",2011-12-15,1.4
"OR Coast","Razor clam",2012-02-15,1
"OR Coast","Razor clam",2012-03-15,1.1
"OR Coast","Razor clam",2012-04-15,1.6
"OR Coast","Razor clam",2012-05-15,1.4
"OR Coast","Razor clam",2012-06-15,0
"OR Coast","Razor clam",2012-07-15,0
"OR Coast","Razor clam",2012-09-15,3.5
"OR Coast","Razor clam",2012-10-15,2.4
"OR Coast","Dungeness crab",2012-11-15,3.5
"OR Coast","Razor clam",2012-11-15,5.3
"OR Coast","Razor clam",2012-12-15,2.9
"OR Coast","Razor clam",2013-02-15,1.9
"OR Coast","Razor clam",2013-03-15,1.9
"OR Coast","Razor clam",2013-04-15,7.7
"OR Coast","Razor clam",2013-05-15,6.7
"OR Coast","Razor clam",2013-06-15,4.4
"OR Coast","Razor clam",2013-07-15,8.2
"OR Coast","Razor clam",2013-08-15,12
"OR Coast","Razor clam",2013-09-15,7.9
"OR Coast","Razor clam",2013-10-15,3
"OR Coast","Dungeness crab",2013-11-15,8.9
"OR Coast","Razor clam",2013-12-15,0
"OR Coast","Razor clam",2014-01-15,11
"OR Coast","Razor clam",2014-02-15,10
"OR Coast","Razor clam",2014-03-15,2.5
"OR Coast","Razor clam",2014-04-15,8.6
"OR Coast","Razor clam",2014-05-15,4
"OR Coast","Razor clam",2014-06-15,2.2
"OR Coast","Razor clam",2014-07-15,7.1
"OR Coast","Razor clam",2014-08-15,22
"OR Coast","Razor clam",2014-09-15,39
"OR Coast","Razor clam",2014-10-15,51
"OR Coast","Dungeness crab",2014-11-15,0
"OR Coast","Razor clam",2014-11-15,1.9
"OR Coast","Razor clam",2014-12-15,39
"OR Coast","Razor clam",2015-01-15,53
"OR Coast","Razor clam",2015-02-15,6.1
"OR Coast","Razor clam",2015-03-15,31
"OR Coast","Razor clam",2015-04-15,24
"OR Coast","Razor clam",2015-05-15,110
"OR Coast","Dungeness crab",2015-06-15,17
"OR Coast","Razor clam",2015-06-15,140
"OR Coast","Razor clam",2015-07-15,59
"OR Coast","Dungeness crab",2015-08-15,9.4
"OR Coast","Razor clam",2015-08-15,49
"OR Coast","Razor clam",2015-09-15,99
"OR Coast","Dungeness crab",2015-10-15,43
"OR Coast","Razor clam",2015-10-15,170
"OR Coast","Dungeness crab",2015-11-15,70
"OR Coast","Razor clam",2015-11-15,29
"OR Coast","Dungeness crab",2015-12-15,29
"OR Coast","Razor clam",2015-12-15,82
"OR Coast","Dungeness crab",2016-01-15,15
"OR Coast","Razor clam",2016-01-15,150
"OR Coast","Dungeness crab",2016-02-15,27
"OR Coast","Razor clam",2016-02-15,110
"OR Coast","Dungeness crab",2016-03-15,5.3
"OR Coast","Razor clam",2016-03-15,120
"OR Coast","Dungeness crab",2016-04-15,7.6
"OR Coast","Razor clam",2016-04-15,97
"OR Coast","Dungeness crab",2016-05-15,7.9
"OR Coast","Razor clam",2016-05-15,93
"OR Coast","Dungeness crab",2016-06-15,4.4
"OR Coast","Razor clam",2016-06-15,55
"OR Coast","Razor clam",2016-07-15,46
"OR Coast","Razor clam",2016-08-15,41
"OR Coast","Dungeness crab",2016-09-15,12
"OR Coast","Razor clam",2016-09-15,110
"OR Coast","Dungeness crab",2016-10-15,16
"OR Coast","Razor clam",2016-10-15,180
"OR Coast","Dungeness crab",2016-11-15,54
"OR Coast","Razor clam",2016-11-15,190
"OR Coast","Dungeness crab",2016-12-15,130
"OR Coast","Razor clam",2016-12-15,360
"OR Coast","Dungeness crab",2017-01-15,36
"OR Coast","Razor clam",2017-01-15,180
"OR Coast","Dungeness crab",2017-02-15,26
"OR Coast","Razor clam",2017-02-15,140
"OR Coast","Dungeness crab",2017-03-15,18
"OR Coast","Razor clam",2017-03-15,97
"OR Coast","Dungeness crab",2017-04-15,6.5
"OR Coast","Razor clam",2017-04-15,120
"OR Coast","Dungeness crab",2017-05-15,8.8
"OR Coast","Razor clam",2017-05-15,81
"OR Coast","Dungeness crab",2017-06-15,8.9
"OR Coast","Razor clam",2017-06-15,59
"OR Coast","Dungeness crab",2017-07-15,7.8
"OR Coast","Razor clam",2017-07-15,57
"OR Coast","Razor clam",2017-08-15,54
"OR Coast","Razor clam",2017-09-15,120
"OR Coast","Dungeness crab",2017-10-15,62
"OR Coast","Razor clam",2017-10-15,19
"OR Coast","Dungeness crab",2017-11-15,55
"OR Coast","Razor clam",2017-11-15,80
"OR Coast","Dungeness crab",2017-12-15,34
"OR Coast","Razor clam",2017-12-15,270
"OR Coast","Dungeness crab",2018-01-15,36
"OR Coast","Razor clam",2018-01-15,200
"OR Coast","Dungeness crab",2018-02-15,55
"OR Coast","Razor clam",2018-02-15,230
"OR Coast","Dungeness crab",2018-03-15,17
"OR Coast","Razor clam",2018-03-15,9.2
"OR Coast","Dungeness crab",2018-04-15,16
"OR Coast","Razor clam",2018-04-15,120
"OR Coast","Dungeness crab",2018-05-15,13
"OR Coast","Razor clam",2018-05-15,90
"OR Coast","Dungeness crab",2018-06-15,3.9
"OR Coast","Razor clam",2018-06-15,62
"OR Coast","Dungeness crab",2018-07-15,0
"OR Coast","Razor clam",2018-07-15,32
"OR Coast","Razor clam",2018-08-15,110
"OR Coast","Razor clam",2018-09-15,180
"OR Coast","Dungeness crab",2018-10-15,99
"OR Coast","Razor clam",2018-10-15,0
"OR Coast","Dungeness crab",2018-11-15,58
"OR Coast","Razor clam",2018-11-15,220
"OR Coast","Dungeness crab",2018-12-15,56
"OR Coast","Razor clam",2018-12-15,5.8
"OR Coast","Dungeness crab",2019-01-15,73
"OR Coast","Razor clam",2019-01-15,190
"OR Coast","Dungeness crab",2019-02-15,56
"OR Coast","Razor clam",2019-02-15,62
"OR Coast","Dungeness crab",2019-03-15,100
"OR Coast","Razor clam",2019-03-15,30
"OR Coast","Dungeness crab",2019-04-15,12
"OR Coast","Razor clam",2019-04-15,42
"OR Coast","Dungeness crab",2019-05-15,40
"OR Coast","Razor clam",2019-05-15,140
"OR Coast","Dungeness crab",2019-06-15,6.6
"OR Coast","Razor clam",2019-06-15,92
"OR Coast","Dungeness crab",2019-07-15,7.1
"OR Coast","Razor clam",2019-07-15,35
"OR Coast","Razor clam",2019-08-15,20
"OR Coast","Razor clam",2019-09-15,13
"OR Coast","Razor clam",2019-10-15,38
"OR Coast","Dungeness crab",2019-11-15,18
"OR Coast","Razor clam",2019-11-15,33
"OR Coast","Dungeness crab",2020-01-15,13
"OR Coast","Razor clam",2020-01-15,31
"OR Coast","Dungeness crab",2020-02-15,7.7
"OR Coast","Razor clam",2020-02-15,26
"OR Coast","Dungeness crab",2020-03-15,7.2
"OR Coast","Razor clam",2020-03-15,30
"OR Coast","Dungeness crab",2020-04-15,7.1
"OR Coast","Razor clam",2020-04-15,19
"OR Coast","Dungeness crab",2020-05-15,1.9
"OR Coast","Razor clam",2020-05-15,24
"OR Coast","Dungeness crab",2020-06-15,1.6
"OR Coast","Razor clam",2020-06-15,27
"OR Coast","Dungeness crab",2020-07-15,2.6
"OR Coast","Razor clam",2020-07-15,34
"OR Coast","Razor clam",2020-08-15,14
"OR Coast","Razor clam",2020-09-15,12
"OR Coast","Razor clam",2020-10-15,100
"OR Coast","Dungeness crab",2020-11-15,11
"OR Coast","Razor clam",2020-11-15,110
"OR Coast","Dungeness crab",2020-12-15,20
"OR Coast","Razor clam",2020-12-15,120
"NCA","Razor clam",1991-12-15,29
"NCA","Razor clam",1992-05-15,9.7
"NCA","Razor clam",1992-06-15,14
"NCA","Razor clam",1992-07-15,2
"NCA","Razor clam",1992-12-15,1
"NCA","Razor clam",2004-05-15,89
"NCA","Razor clam",2004-06-15,170
"NCA","Razor clam",2004-07-15,54
"NCA","Razor clam",2004-08-15,16
"NCA","Razor clam",2005-05-15,15
"NCA","Razor clam",2005-06-15,5.5
"NCA","Razor clam",2005-07-15,4.2
"NCA","Razor clam",2006-04-15,79
"NCA","Razor clam",2006-05-15,4
"NCA","Razor clam",2007-04-15,1
"NCA","Razor clam",2007-05-15,2.5
"NCA","Razor clam",2007-07-15,1.6
"NCA","Razor clam",2008-05-15,1.66
"NCA","Razor clam",2008-06-15,1.2
"NCA","Razor clam",2011-04-15,3.8
"NCA","Razor clam",2011-05-15,2.5
"NCA","Razor clam",2011-06-15,2.5
"NCA","Razor clam",2011-07-15,2.5
"NCA","Razor clam",2013-02-15,2.5
"NCA","Razor clam",2013-04-15,2.55
"NCA","Razor clam",2014-05-15,2.5
"NCA","Razor clam",2014-07-15,3.5
"NCA","Razor clam",2015-04-15,7
"NCA","Razor clam",2015-05-15,8.4
"NCA","Razor clam",2015-06-15,13
"NCA","Razor clam",2015-07-15,27
"NCA","Razor clam",2015-08-15,340
"NCA","Dungeness crab",2015-09-15,140
"NCA","Dungeness crab",2015-10-15,140
"NCA","Razor clam",2015-10-15,300
"NCA","Dungeness crab",2015-11-15,270
"NCA","Dungeness crab",2015-12-15,69
"NCA","Dungeness crab",2016-01-15,81
"NCA","Razor clam",2016-01-15,380
"NCA","Dungeness crab",2016-02-15,93
"NCA","Razor clam",2016-02-15,81
"NCA","Dungeness crab",2016-03-15,41
"NCA","Dungeness crab",2016-04-15,58
"NCA","Razor clam",2016-04-15,180
"NCA","Dungeness crab",2016-05-15,38
"NCA","Razor clam",2016-05-15,80
"NCA","Razor clam",2016-06-15,160
"NCA","Razor clam",2016-07-15,230
"NCA","Razor clam",2016-08-15,190
"NCA","Dungeness crab",2016-09-15,64
"NCA","Dungeness crab",2016-10-15,74
"NCA","Dungeness crab",2016-11-15,170
"NCA","Razor clam",2016-11-15,210
"NCA","Dungeness crab",2016-12-15,64
"NCA","Razor clam",2016-12-15,220
"NCA","Dungeness crab",2017-01-15,23
"NCA","Razor clam",2017-02-15,39
"NCA","Razor clam",2017-03-15,82
"NCA","Razor clam",2017-04-15,56
"NCA","Razor clam",2017-05-15,85
"NCA","Razor clam",2017-06-15,120
"NCA","Razor clam",2017-07-15,27
"NCA","Dungeness crab",2017-09-15,44
"NCA","Dungeness crab",2017-10-15,110
"NCA","Dungeness crab",2017-11-15,150
"NCA","Razor clam",2017-11-15,300
"NCA","Dungeness crab",2017-12-15,56
"NCA","Razor clam",2017-12-15,390
"NCA","Razor clam",2018-01-15,280
"NCA","Razor clam",2018-03-15,230
"NCA","Razor clam",2018-04-15,41
"NCA","Razor clam",2018-05-15,160
"NCA","Razor clam",2018-06-15,37
"NCA","Razor clam",2018-07-15,86
"NCA","Razor clam",2018-08-15,63
"NCA","Dungeness crab",2018-09-15,46
"NCA","Razor clam",2018-09-15,160
"NCA","Dungeness crab",2018-10-15,70
"NCA","Dungeness crab",2018-11-15,110
"NCA","Razor clam",2018-11-15,300
"NCA","Dungeness crab",2018-12-15,110
"NCA","Dungeness crab",2019-01-15,30
"NCA","Razor clam",2019-03-15,280
"NCA","Razor clam",2019-04-15,450
"NCA","Razor clam",2019-05-15,360
"NCA","Razor clam",2019-06-15,160
"NCA","Razor clam",2019-07-15,130
"NCA","Razor clam",2019-08-15,37
"NCA","Dungeness crab",2019-10-15,32
"NCA","Razor clam",2019-10-15,180
"NCA","Dungeness crab",2019-11-15,33
"NCA","Razor clam",2020-02-15,150
"NCA","Razor clam",2020-03-15,180
"NCA","Razor clam",2020-04-15,66
"NCA","Razor clam",2020-05-15,77
"NCA","Razor clam",2020-06-15,87
"NCA","Razor clam",2020-07-15,72
"NCA","Razor clam",2020-08-15,94
"NCA","Dungeness crab",2020-09-15,8
"NCA","Dungeness crab",2020-10-15,6.1
"CCA","Razor clam",2003-10-15,1
"CCA","Razor clam",2004-04-15,41
"CCA","Razor clam",2012-06-15,2.5
"CCA","Razor clam",2012-07-15,97
"CCA","Razor clam",2014-11-15,5
"CCA","Razor clam",2014-12-15,7.2
"CCA","Razor clam",2015-01-15,5.5
"CCA","Razor clam",2015-05-15,3.1
"CCA","Dungeness crab",2015-07-15,12
"CCA","Razor clam",2015-07-15,9.9
"CCA","Dungeness crab",2015-10-15,140
"CCA","Dungeness crab",2015-11-15,81
"CCA","Dungeness crab",2015-12-15,130
"CCA","Dungeness crab",2016-01-15,54
"CCA","Dungeness crab",2016-02-15,66
"CCA","Dungeness crab",2016-03-15,38
"CCA","Dungeness crab",2016-09-15,60
"CCA","Dungeness crab",2016-10-15,71
"CCA","Dungeness crab",2016-11-15,65
"CCA","Dungeness crab",2016-12-15,28
"CCA","Dungeness crab",2017-09-15,24
"CCA","Dungeness crab",2017-10-15,5.3
"CCA","Dungeness crab",2018-09-15,40
"CCA","Dungeness crab",2018-10-15,74
"CCA","Dungeness crab",2018-11-15,52
"CCA","Dungeness crab",2018-12-15,0
"CCA","Dungeness crab",2019-09-15,58
"CCA","Dungeness crab",2019-10-15,39
"CCA","Dungeness crab",2019-11-15,36
"CCA","Dungeness crab",2020-09-15,46
"CCA","Dungeness crab",2020-10-15,9.2
